缺失模式,插值方法,RMSE,信号差异数量,虚假信号数量,漏失信号数量,信号差异分析
模式A,分段线性插值,30.6099,47,4,40,信号差异: 47处; - 虚假信号: 4个; - 漏失信号: 40个
模式A,三次样条插值,31.7454,50,7,41,信号差异: 50处; - 虚假信号: 7个; - 漏失信号: 41个
模式A,径向基函数插值,33.0699,46,4,39,信号差异: 46处; - 虚假信号: 4个; - 漏失信号: 39个
模式A,前向填充(基准),31.9385,47,8,35,信号差异: 47处; - 虚假信号: 8个; - 漏失信号: 35个
模式B,分段线性插值,16.8615,2,0,2,信号差异: 2处; - 虚假信号: 0个; - 漏失信号: 2个
模式B,三次样条插值,38.8467,3,0,2,信号差异: 3处; - 虚假信号: 0个; - 漏失信号: 2个
模式B,径向基函数插值,17.6177,2,0,2,信号差异: 2处; - 虚假信号: 0个; - 漏失信号: 2个
模式B,前向填充(基准),15.8757,2,0,2,信号差异: 2处; - 虚假信号: 0个; - 漏失信号: 2个
